stopTag,stopTitle,stopLat,stopLon
22277,Memorial Union (M Line) & Howard Way (SB),38.5434399,-121.75006
22002,1st St & C St (EB),38.5415199,-121.74254
22004,Richards Blvd & Olive Dr (SB),38.54064,-121.73854
22035,Cowell Blvd & Research Park S Dr (EB),38.5398399,-121.73081
22295,Drew Ave & Cowell Blvd (NB),38.54019,-121.72697
22296,Drew & Research Park Drive (NB),38.5436,-121.72735
22045,Cowell Blvd & Halsey Cir (WB),38.5432399,-121.72253
22038,Cowell Blvd & Valdora St (WB),38.5401199,-121.72509
22036,Cowell Blvd & Drew Ave (WB),38.5400399,-121.7275399
22034,Cowell Blvd & Research Park S Dr (WB),38.5401199,-121.7302099
22242,Richards Blvd & Olive Dr (NB),38.5407999,-121.7383199
22003,1st St & D St (WB),38.5418199,-121.74205
22021,Russell Blvd & A St (WB),38.5463799,-121.7468699
22000,Hutchison Dr & A St (EB),38.54003,-121.7460499
22031,3rd St & K St (EB),38.54564,-121.7344999
22033,L St & 4th St (NB),38.5478399,-121.7341199
22076,5th St & Pole Line Rd (EB),38.54856,-121.72763
22282,2nd St. & Target Drive (WB),38.5537199,-121.69776
22283,Pena  & 2nd St. (NB),38.5502299,-121.7157
22021,Russell Blvd & A St (WB),38.5463799,-121.74687
22292,Sycamore & 8th (SB),38.55061,-121.76422
22286,Hutchison & Sage (NB),38.5389999,-121.77134
22288,West Village Sq & Town Square (NB),38.54136,-121.77133
22289,West Village Sq & Community College (SB),38.5408199,-121.77171
22287,Hutchison & Sage (SB),38.5387999,-121.7717699
22240,Hutchison Dr & Health Sci Drive (EB),38.53737,-121.7642299
22285,La Rue Rd & Hutchison (SB),38.5370399,-121.7610699
22269,La Rue Rd & Garrod Dr (EB),38.53422,-121.7592999
22284,Dairy Road & Tercero (NB),38.53584,-121.7588
22278,Memorial Union (P Line) & Howard Way (NB),38.5439299,-121.74983
22025,5th St & D St (EB),38.54689,-121.7429799
22028,5th St & G St (EB),38.5473999,-121.73961
22076,5th St & Pole Line Rd (EB),38.5485599,-121.72763
22039,Pole Line Rd & Cowell Blvd (SB),38.5425899,-121.7251899
22297,Lillard Dr & Cowell Blvd (EB),38.54116,-121.7221899
22174,Lillard Dr & Evans Ct (EB),38.5416599,-121.71735
22048,Cowell Blvd & Drummond Ave (EB),38.5473499,-121.71263
22051,Cowell Blvd & Ohlone St (EB),38.5474,-121.70609
22054,Cowell Blvd & La Vida (EB),38.54807,-121.7027299
22056,Cowell Blvd & Ensenada Dr (EB),38.54776,-121.69978
22057,Cowell Blvd & Sunrise Ct (EB),38.54792,-121.6967199
22060,Mace Blvd & Cowell Blvd (NB),38.5492799,-121.69425
22363,Covell Blvd & Wright Blvd (WB),38.5635199,-121.71829
22362,Covell Blvd & Pole Line Rd (WB),38.5626499,-121.73024
22097,Covell Blvd & J St (WB),38.5607399,-121.7380799
22113,F St & Covell Blvd (SB),38.5601099,-121.74496
22114,14th St & F St (WB),38.55694,-121.7438099
22123,14th St & B St (WB),38.5560899,-121.74815
22125,14th St & Davis HS (WB),38.5559599,-121.75058
22196,Covell Blvd & Sycamore Ln (WB),38.5610099,-121.7646399
22199,Covell Blvd & John Jones Rd (WB),38.5610799,-121.77076
22200,Covell Blvd & Shasta Dr (WB),38.56107,-121.7729699
22203,Lake Blvd & Covell Blvd (SB),38.5604599,-121.78632
22205,Lake Blvd & Oyster Bay (SB),38.55757,-121.7866499
22223,Arlington Blvd & Westernesse Rd (SB),38.5502799,-121.77927
22224,Arlington Blvd & Bucklebury Rd (SB),38.5487699,-121.7787999
22279,Memorial Union (Q Line) & Howard Way (NB),38.5439599,-121.74968
22494,Arlington Blvd & Bucklebury Rd (NB),38.54888,-121.77851
22495,Arlington Blvd & Calaveras Ave (NB),38.5507099,-121.77896
22212,Arlington Blvd & Shasta Dr (NB),38.5538499,-121.78208
22209,Arlington Blvd & Cabot St (NB),38.5539399,-121.78497
22207,Arlington Blvd & Lake Blvd (NB),38.5552299,-121.78701
22206,Lake Blvd & Wood Circle (NB),38.5581499,-121.78614
22204,Lake Blvd & Covell Blvd (NB),38.5604199,-121.78604
22202,Covell Blvd & West Area Bike Path (EB),38.56095,-121.78199
22201,Covell Blvd & Denali Dr (EB),38.56085,-121.77824
22198,Covell Blvd & Shasta Dr (EB),38.56072,-121.77172
22197,Covell Blvd & Sycamore Ln (EB),38.5607,-121.7645399
22150,Villanova Dr & Anderson Rd (EB),38.55615,-121.75788
22146,14th St & Oak St (EB),38.55572,-121.7518099
22124,14th St & B St (EB),38.5558999,-121.74788
22098,Covell Blvd & J St (EB),38.56046,-121.73793
22096,Covell Blvd & Pole Line Rd (EB),38.56216,-121.7319899
22364,Covell Blvd & Wright Blvd (EB),38.5632999,-121.71784
22079,Covell Blvd & Alhambra Dr (EB),38.5640699,-121.70887
22245,Covell Blvd & Mace Blvd (EB),38.5648,-121.7000299
22243,Mace Blvd & 2nd St (SB),38.55775,-121.6942999
22059,Mace Blvd & Chiles Rd (SB),38.5497399,-121.69457
22058,Cowell Blvd & Sunrise (WB),38.54842,-121.6962399
22055,Cowell Blvd & Ensenada Dr (WB),38.5480299,-121.69994
22053,Cowell Blvd & La Vida Way (WB),38.5482299,-121.70305
22052,Cowell Blvd & Ohlone St (WB),38.5476899,-121.70656
22049,Cowell Blvd & Drummond Ave (Chiles) (WB),38.5476399,-121.71264
22047,Drummond Ave & Cowell (SB),38.5471299,-121.7133699
22046,Drummond Ave & Lillard Dr (SB),38.5437099,-121.71357
22043,Lillard Dr & Evans Ct (WB),38.5417799,-121.7175799
22042,Lillard Dr & Farragut Cir (WB),38.54136,-121.7207199
22040,Pole Line Rd & Cowell Blvd (NB),38.5422099,-121.7243699
22077,5th St & Pole Line Rd (WB),38.5488299,-121.72777
22078,5th St & Davis PW Corp Yard (WB),38.5488999,-121.7307999
22029,5th St & I St (WB),38.5479299,-121.73789
22026,5th St & D St (WB),38.5469499,-121.74358
22061,Chiles Rd & Mace Blvd (EB),38.5507699,-121.69348
22496,Glide Dr & El Cemonte Ave (EB),38.5511999,-121.69071
22344,Glide Dr & Schmeiser Ave (EB),38.55221,-121.6841999
22343,Cowell Blvd & Schmeiser Ave (WB),38.5498299,-121.68376
22063,Cowell Blvd & El Cemonte Ave (WB),38.5489599,-121.6900899
22499,Mace Blvd & El Macero Dr (SB),38.54687,-121.6946399
22251,Mace Blvd & S El Macero Dr (SB),38.5410499,-121.6946399
22501,Rosario St & Montgomery Ave (NB),38.5387999,-121.699
22502,Rosario St & Almond Ln (NB),38.54149,-121.69939
22350,Almond Ln & Deodara St (WB),38.5420299,-121.7012999
