route,stop,date,boarding,deboarding
E,B St & 4th St  (SB),2012-10-09,2,0
E,F St & 8th St (NB),2012-10-09,6,41
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-10,22,304
E,F St & 12th St (NB),2012-10-10,4,4
E,F St & 5th Street  (NB),2012-10-10,0,4
E,Memorial Union (E Line) & Howard Way (NB),2012-10-10,144,0
E,3rd St & E St (WB),2012-10-10,2,6
E,8th St & G St (WB),2012-10-10,29,0
E,J St & Menlo Dr (SB),2012-10-10,56,38
E,J St & 8th St (SB),2012-10-10,24,9
E,F St & Covell Blvd (NB),2012-10-10,54,26
E,3rd St & C St (WB),2012-10-10,3,1
E,J St & Alice St (SB),2012-10-10,20,12
E,J St & Drexel Dr (SB),2012-10-10,29,14
E,F St & 8th St (NB),2012-10-10,7,29
E,F St & 8th St  (SB),2012-10-10,11,0
E,3rd St & C St (EB),2012-10-10,0,2
E,B St & 4th St  (SB),2012-10-10,0,1
E,F St & 4th St  (SB),2012-10-10,1,6
E,F St & 4th St  (NB),2012-10-10,4,2
E,3rd St & E St (EB),2012-10-10,6,5
E,F St & 14th St (NB),2012-10-10,41,24
E,J St & Menlo Dr (SB),2012-10-11,76,59
E,3rd St & C St (WB),2012-10-11,0,2
E,Memorial Union Terminal Arrival & Howard Way (NB),2012-10-11,0,298
E,J St & Alice St (SB),2012-10-11,25,11
E,F St & 14th St (NB),2012-10-11,39,32
E,B St & 4th St  (SB),2012-10-11,0,1
E,F St & 4th St  (NB),2012-10-11,0,2
E,3rd St & E St (WB),2012-10-11,1,7
E,F St & Covell Blvd (NB),2012-10-11,58,36
E,3rd St & C St (EB),2012-10-11,2,2
E,J St & Drexel Dr (SB),2012-10-11,30,28
E,F St & 8th St (NB),2012-10-11,21,28
E,F St & 4th St  (SB),2012-10-11,0,4
E,F St & 12th St (NB),2012-10-11,13,23
E,3rd St & E St (EB),2012-10-11,12,14
E,F St & 8th St  (SB),2012-10-11,9,0
E,F St & 5th Street  (NB),2012-10-11,0,3
E,J St & 8th St (SB),2012-10-11,23,9
E,Memorial Union (E Line) & Howard Way (NB),2012-10-11,259,1
E,8th St & G St (WB),2012-10-11,21,0
E,F St & 4th St  (SB),2012-10-12,2,10
E,F St & 12th St (NB),2012-10-12,15,23
E,F St & 8th St  (SB),2012-10-12,12,0
